,Supplier,ITEM,DESCRIPTION,UNIT, UNIT PRICE ,initial inventory,amt,saferty,total forcast
,BENJ ENTERPRISES,Self Inking Stamp Refill,Black,piece,149,0,0,0,0
,BENJ ENTERPRISES,Self Inking Stamp Refill,Blue ,piece,149,0,0,0,0
,BENJ ENTERPRISES,Self Inking Stamp Refill,Red,piece,149,0,0,0,0
,RLT 88 TRADING CO.,Sharpener,Carl Angel - 5,piece,310,0,0,0,0
,RLT 88 TRADING CO.,Stamp Pad,Artline - Big ( 0.2 ),piece,180,0,0,0,0
,RLT 88 TRADING CO.,Stamp Pad,Artline - Small,piece,55,0,0,0,0
,RLT 88 TRADING CO.,Stamp Pad,Artline - Small,piece,100,0,0,0,0
,RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Black 30ml.,piece,30,0,0,0,0
,RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Blue 30ml.,piece,21,0,0,0,0
,RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Blue 30ml.,piece,30,0,0,0,0
,RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Red 30ml.,piece,21,0,0,0,0
,RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Purple 30ml.,piece,21,0,0,0,0
,RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Green 30ml.,piece,30,0,0,0,0
,RLT 88 TRADING CO.,Staple Wire ,Max #10-1M,piece,7.5,0,0,0,0
,BENJ ENTERPRISES,Staple Wire ,Max #35-5M,box,40,0,0,0,0
,RLT 88 TRADING CO.,Staple Wire Remover,Joy,piece,12,0,0,0,0
,BENJ ENTERPRISES,Stapler, #35 Joy W/Remover,box,220,0,0,0,0
,BENJ ENTERPRISES,Stapler, #35 MAX w/ Remover,box,415,0,0,0,0
,BENJ ENTERPRISES,Stapler, #35 MAX w/o Remover,box,398,0,0,0,0
,RLT 88 TRADING CO.,Stapler,Max HD #10,piece,52,0,0,0,0
,RLT 88 TRADING CO.,Tape Dispenser,New Wonder No .50(Table),piece,70,0,0,0,0
,RLT 88 TRADING CO.,Tape Dispenser,New Wonder No .50(Table),piece,75,0,0,0,0
,RLT 88 TRADING CO.,Tape Dispenser,New Wonder No .50(Table),piece,85,0,0,0,0
,BENJ ENTERPRISES,Tape Dispenser ,"Packing 3"" ",piece,90,0,0,0,0
,RLT 88 TRADING CO.,Tape Dispenser  ,"Star No. 100 (Packing) 2""",piece,40,0,0,0,0
,RLT 88 TRADING CO.,Tape Dispenser  ,"Star No. 100 (Packing) 2""",piece,50,0,0,0,0
,SM,Tissue,Soft (SM Bonus) box,box,43.5,0,0,0,0
,SM,Tissue,Soft (SM Bonus) box,box,47,0,0,0,0
, FUJIXEROX/DOTSPERINCH ,Toner Docu Print,M355DF,piece,9950,0,0,0,0
,VILJAM,Toner,85A,piece,1100,0,0,0,0
,BENJ ENTERPRISES,Transparent Tape,"3""x 50m. Clear",roll,35,0,0,0,0
,BENJ ENTERPRISES,Transparent Tape,"3""x 50m. Tan",roll,35,0,0,0,0
,BENJ ENTERPRISES,Transparent Tape,"2""x70m. Clear",roll,32,0,0,0,0
,RLT 88 TRADING CO.,Whiteboard Eraser,Joy,piece,15,0,0,0,0
,RLT 88 TRADING CO.,Whiteboard Marker,Monami - BLACK,piece,24,0,0,0,0
,RLT 88 TRADING CO.,Whiteboard Marker,Monami - BLUE,piece,24,0,0,0,0
,RLT 88 TRADING CO.,Whiteboard Marker,Monami- RED,piece,24,0,0,0,0
