supplier,item,description,admin,accounting,qa,qc,dok,systemkaizen,prodsupport_stafftools,prodsupport_staffoffice,prodsupport_supplies,audittraining,prodmgt,impexcrating,molding,fabrication,whreceiving,saitama,purchasing,prodtech,partsinspection,prod1dcmotor,prod1ud700yud,prod1sdrb260,prod1rbw10,prod2glr100,prod1brm,prod1technician,prod1office,prod1partsprep,prod2rbw150,prod2rbg,prod2technician,prod2partsprep,prod2packaging,prod2office,g200,rbw50,rbw100,sdrb100
RLT 88 TRADING CO.,Record Book,Shiny - 500 pages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESTMARC,Ring,"1/2""",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Ring,'2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPYLANDIA,Riso Ink ,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Ruler,Aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Ruler,Orions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Scissors,"6""",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
BENJ ENTERPRISES,Scissors,"8""",,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,4,,,,,,
BENJ ENTERPRISES,Scotch Tape,"1/2""x30m.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Scotch Tape,"1""x100m.",7,5,2,,,,,1,,,,1,18,10,,,1,1,20,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Self Inking Stamp Refill,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Self Inking Stamp Refill,Blue ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Self Inking Stamp Refill,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Sharpener,Carl Angel - 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Stamp Pad,Artline - Big ( 0.2 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Stamp Pad,Artline - Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Stamp Pad,Artline - Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Black 30ml.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Blue 30ml.,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Blue 30ml.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Red 30ml.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Purple 30ml.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Stamp Pad Ink,Eveready - Green 30ml.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Staple Wire ,Max #10-1M,,,,,,,,,,,,,,1,3,,2,,10,,,,,,,,,,,,1,,,,,,,
BENJ ENTERPRISES,Staple Wire ,Max #35-5M,1,1,,15,,,,,3,,,1,,,5,,,,1,,,,,3,3,,,,,5,,4,2,,,,1,1
RLT 88 TRADING CO.,Staple Wire Remover,Joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Stapler, #35 Joy W/Remover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Stapler, #35 MAX w/ Remover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Stapler, #35 MAX w/o Remover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
RLT 88 TRADING CO.,Stapler,Max HD #10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Tape Dispenser,New Wonder No .50(Table),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Tape Dispenser,New Wonder No .50(Table),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Tape Dispenser,New Wonder No .50(Table),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Tape Dispenser ,"Packing 3"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Tape Dispenser  ,"Star No. 100 (Packing) 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Tape Dispenser  ,"Star No. 100 (Packing) 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Tissue,Soft (SM Bonus) box,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Tissue,Soft (SM Bonus) box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUJIXEROX/DOTSPERINCH ,Toner Docu Print,M355DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILJAM,Toner,85A,,,,,,,,,,,1,,,,9,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Transparent Tape,"3""x 50m. Clear",2,,,,,,,1,,,,2,,,,,,2,3,,,,,,,,,,,,1,,,,,,,
BENJ ENTERPRISES,Transparent Tape,"3""x 50m. Tan",,,,,,,,,,,,2,,,,,,2,10,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Transparent Tape,"2""x70m. Clear",,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Whiteboard Eraser,Joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Whiteboard Marker,Monami - BLACK,1,,,,,,,,,,,1,4,,,,,,3,,,,,,,,1,,,,,,,,,,,8
RLT 88 TRADING CO.,Whiteboard Marker,Monami - BLUE,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
RLT 88 TRADING CO.,Whiteboard Marker,Monami- RED,1,,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,
