supplier,item,description,admin,accounting,qa,qc,dok,systemkaizen,prodsupport_stafftools,prodsupport_staffoffice,prodsupport_supplies,audittraining,prodmgt,impexcrating,molding,fabrication,whreceiving,saitama,purchasing,prodtech,partsinspection,prod1dcmotor,prod1ud700yud,prod1sdrb260,prod1rbw10,prod2glr100,prod1brm,prod1technician,prod1office,prod1partsprep,prod2rbw150,prod2rbg,prod2technician,prod2partsprep,prod2packaging,prod2office,g200,rbw50,rbw100,sdrb100
RLT 88 TRADING CO.,Paper Clip,Small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Paper Fastener,Prince,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Paper,Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON NATIONAL,Parchment Paper,"9""X12""",2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBINSON NATIONAL,Parchment Paper,"9""X12""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Pen,Snowman - Silver,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,
BENJ ENTERPRISES,Pen,ZEBRA BLACK,,,,,,,,1,,,1,,,,,,,1,1,1,1,,2,6,10,,,,1,,,3,,,,3,2,3
BENJ ENTERPRISES,Pen,ZEBRA RED,,,1,55,,,,,,,,,,,,,,,1,2,,,,3,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Pencil,Mongol 1 & 2,1,,,,5,,,,,,,,,2,5,,1,6,,,,,,,,,,,,,2,,,,,,,
SM,Pentel Pen,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Pentel Pen,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Permanent Mounting Tape,"3M - 1"" x 6m",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Permanent Pen,Pilot - Black,1,,,,,,,,,,,,,,7,,,1,1,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Permanent Pen,Pilot - Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Permanent Pen,Pilot - Blue,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Permanent Pen,Pilot - Red,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Permanent Pen,Refill Ink - Black,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Permanent Pen,Refill Ink - Red,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Pilot Sign Pen,G-Tech - Black (0.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Pilot Sign Pen,G-TECH Refill Ink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Plastic Filler (Clear Sheet),A4,25,,,20,,,,,,,5,,25,,,,,,15,5,,,,5,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Plastic Filler (Clear Sheet),LONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Plastic Filler (Clear Sheet),LONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Plastic Filler (Clear Sheet),LONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Pocket Notebook,Spring on top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Post It Note,"Acura - 1.5 x 2""",1,,1,,,,,1,,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,
RLT 88 TRADING CO.,Post It Note,"Acura - 1.5 x 2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Post It Note,"Acura - 2x3""",,,1,,,,,1,,,1,2,,,,,,,,,,,,,,,,,,,,1,,,,,,
